sentence,source,target,relation
"'Then you must drag me thither,' he groaned, and shut his eyes as though with faintness, and doubtless he was somewhat faint.",doubtless,,['groaned']
"Great black clouds, the trail of some neighboring storm, had slowly filled the sky.",clouds,,['filled']
"""Wallace, you go down.",Wallace,,['go']
An intro leads into several pictures of a tennis player and leaders into video footage of the player playing matches.,intro,several,"['leads', 'into', 'several']"
There were noises in the hall; the boys had returned earlier than she expected.,earlier,,['returned']
"""Pray,"" she said, ""hesitate no further; put them in your pocket; and to relieve our position of any shadow of embarrassment, tell me by what name I am to address my knight-errant, for I find myself reduced to the awkwardness of the pronoun.""",myself,pronoun,['put']
Cox-Raythwaite and Selwood just then appeared at the entrance door and began to descend the steps.,Cox,Raythwaite,"['appeared', 'at']"
"He sat motionless in his chair, apparently completely relaxed.",He,motionless,"['sat', 'motionless']"
 A woman is standing in front of him and flies the kite after.,woman,kite,"['standing', 'in']"
 People row canoes on a body of water.,People,water,['row']
"Through the silent apartment they heard the sudden peal of the door-bell, and she rose to her feet.",sudden,door,['heard']
Presently she and her companion got up and sauntered away.,Presently,,['got']
The simple truth is that it brings its own relief to those who are always just on the verge.,own,,['is']
"""Would you be prepared to go to some expense to neutralize the bad effects of this feast, Mr. Brook?""",you,bad,"['be', 'prepared']"
 The left man has the ball caught and tries to score but fails.,left,,['nothing']
  The child cries and then hugs the nurse.,child,then,['cries']
"Mr. Smithson had business on shore, and was fain to leave the yacht for an hour or two before dinner.",Mr.,Smithson,['had']
" Then, the boy falls down the floor.",Then,,"['falls', 'down']"
"""Got to keep the track 'til we--see--light!"" The wind tore the words from his mouth as it struck them in lashing fury.",it,fury,['tore']
"""To save your lordship the necessity of asking any further questions,"" he said, ""I may state briefly that I have done all as if you had done it yourself.""",you,it,['said']
 They then engage in a wrestling match.,They,then,"['engage', 'in']"
A girl is standing in the bathroom wearing a robe.,girl,robe,"['standing', 'in']"
In years gone by Mrs. Cliff had been a very kind friend to Miss Cushing.,,kind,['been']
"Her eyes were smiling and shining, her lips were quivering and laughing, while her face craned closer to the panes.",face,closer,['smiling']
 Several women are shown around a table preparing to knit.,Several,,"['shown', 'around']"
A black two door Audi A3 is shown and then the camera zooms in on the tires.,then,,['shown']
  Another man talks about the experience.,man,experience,"['talks', 'about']"
"""Here in Russia you go up and down so.",Here,,['go']
"""But it is not right that men should go hungry and without work when they want to work if only they can get a square deal,"" Saxon protested.",square,,['protested']
"""He has actually frightened the lion back into his den!"" Rushing into the arena, they raised the Absolute Fool upon their shoulders and carried him in triumph to the open square in front of the palace, that he might be rewarded for his bravery.",open,Absolute,['raised']
 She stops and continue to talk more before starting to jump again.,She,,['stops']
"And they all began to cry out in chorus that they were betrayed, and in shrill tones and with abominable oaths bade Lawless go about-ship and bring them speedily ashore.",abominable,,['began']
He dropped behind me fifty yards and spoke no more.,He,me,"['dropped', 'behind']"
 The man is then seen walking around a dog and leads into him back inside still speaking to the camera.,man,still,['seen']
 There's a statue of Jesus Christ right behind them.,,right,"[""'s""]"
"""Under the bed, if you ask me,"" said Jane, blowing on the barrel of her gun and polishing it with the side of her hand.",Jane,hand,['said']
 The lady puts rice crispies on it.,lady,rice,['puts']
 The man then begins running down the track with others watching.,then,,['begins']
 The man steps on the log a bit followed by him swinging the ax on the log.,man,bit,['nothing']
 He finally adds a bowl full of water and stirs it well.,He,full,['adds']
One of Schneider's men was found with his neck wrung the same night that the major was carried off and Schneider thinks that this devil is after him and his command--that it came for him that night and got his brother by mistake.,it,night,"['found', 'with']"
"In my then frame of mind, I confess I found it even delightful; put up my money (or rather my creditors') and put down Fowler's champagne with equal avidity and success; and awoke the next morning to a mild headache and the rather agreeable lees of the last night's excitement.",it,last,['confess']
"In a few moments the spasm relaxed and he was left weak and fainting, his forehead beaded with sweat, and his lips flecked with foam.",lips,foam,"['beaded', 'with']"
"My simile has carried me too far: it was only a dead old gentleman's violin that a couple of boys was after--but with what eagerness, and, on the part of Robert, what alternations of hope and fear!",old,,['was']
An ensign was shaking the fruit trees using as a catch-all the flag of his regiment.,ensign,fruit,['shaking']
 Old man flip man in green.,Old,,['flip']
"""Yes,"" said he; ""but this is a suspicious world, and it is dangerous for a man to set himself apart from his fellow-beings, especially if he does it in some unusual fashion which people cannot understand.""",unusual,,['said']
"A man is mowing his lawn, he has chickens in his coop.",he,coop,['has']
A man jumps onto two bars.,man,two,"['jumps', 'onto']"
"Warned by Lucy, the nurse went to her room and did not disturb them.",nurse,them,"['went', 'to']"
"I asked Mrs. Putchy if they had left any message, but no--they had said nothing as to where they were going, what they were going to do, or when they would be back; and the only thing that had struck Mrs. Putchy as being at all remarkable about their appearance, was the fact that the Rhymester had added little bows of coloured ribbon to his costume, and wore a tall pointed cap gaily decorated with streamers, and a deep white frill around his neck--the others",all,Mrs.,['asked']
"""Yes, yes, the truth,"" cried the king, nodding his head violently.",truth,head,['cried']
"In the middle of the sand however,there are a group of men playing a game of beach volley ball.",,however,['are']
"Then lightning struck father's new house, and the insurance company had failed, and we never got a dollar of insurance.",we,insurance,['struck']
The man wearing gray sweater is playing guitar.,man,gray,['playing']
"This suspicion seemed justified when, at eleven-thirty, his light went out and a few minutes later he turned the corner of the house and appeared in the path.",later,,"['seemed', 'justified']"
"""Oh,"" said Jenny, significantly, though her heart was thudding.",significantly,,['said']
"The advertisement appended ran thus: INFORMATION WANTED.--Should this meet the eye of Ernest Ray, some time residing at Oak Forks, Iowa, he is requested to communicate with  Benjamin Bolton, Attorney at Law, 182 Nassau Street, New York City.",time,Oak,['requested']
The quadrangle itself remained plunged in gloom.,quadrangle,gloom,['remained']
There are two men using defense techniques as a way of dance moves.,,two,['are']
Steve Ames finished his coffee and sat back with a sigh of satisfaction.,Steve,Ames,['finished']
"Then, utterly exhausted, the lads threw themselves on the ground.",utterly,,['threw']
Some of his agents had assisted to bring about the riot.,Some,riot,['assisted']
 The person then vacuums a rug on the floor.,person,then,['vacuums']
A woman is seen speaking to the camera while walking around a counter and pouring liquid out into a bucket.,woman,bucket,['seen']
"The shooting lessened, then stopped altogether.",shooting,,['stopped']
"Amelia, moreover, never tore a frock, and, as she did not grow rapidly, one lasted several seasons.",rapidly,,['tore']
A large group of players are lined up and seen speaking to one another.,large,,['lined']
"The class turns around when they get to the end, stops, and the instructor begins talking and demonstrating a kick and a punch to them, moves out of the way and the class resumes.",class,way,['turns']
 A woman places red wallpaper up against a wall.,woman,red,"['places', 'red']"
 the man opens the motorbike trunk and close it.,man,motorbike,['opens']
"All these months about him, wrapping him so softly that he had never been conscious of it, had been the worship of a great devotion.",softly,,['been']
 The team celebrates together in the water.,team,together,['celebrates']
I had pardoned him the heads of the good men he hath struck off.,good,,['pardoned']
"He wore a close jerkin, a skull-cap lodged carelessly over his left ear as if it had fallen there by chance, a delicate linen apron tucked up on one side, and a razor stuck in his belt.",one,linen,['wore']
We see two men walking and jumping on jump-stilts.,two,,['see']
"He had heard soon after she had gone away that she had gone with Asher, his old schoolfellow.",away,,['heard']
A hand lines the loose area of the wallpaper.,,loose,['lines']
"Then she cried aloud, and throwing herself into my arms, she wept there a while, as would any of us were our beloved dead suddenly to appear before our eyes, alive and well, and her husband clasped me by the hand and swore heartily in his amazement, as is the fashion of some men when they are moved.",when,,['wept']
"Now, you and me together can lick this Tommy Randall just as easy as not, and if you'll help me do it I'll not only divide the money with you, but I'll give you fifty dollars extra, so that instead of fifteen hundred and fifty dollars--that's all he'd given you, if he didn't cheat you--you'll have sixteen hundred, and I'll have fifteen hundred instead of the thousand and thirty-three dollars which I would have had left if",thousand,thirty,['have']
"though, of late many weeds had straggled up among their more estimable floral culture, for the decayed fortunes of the family had prevented them from keeping the necessary servants, to place the Hall and its grounds in a state of neatness, such as it had once been the pride of the inhabitants of the place to see them.",such,,['straggled']
 The birds are flying over the water again.,birds,water,"['flying', 'over']"
 The men continue playing this game back and fourth and rub each other's heads while others watch.,back,,['continue']
"She had accepted Daguenet very quietly and now evinced neither joy nor sadness, for she was still as cold and white as on those winter evenings when she used to put logs on the fire.",when,winter,['accepted']
"She began to become a little astonished at the frequency with which, during a silent drive, or some mild mechanical labor in the gardens, the image of that young man would rise before her.",mechanical,,['began']
"She then takes clothes pins,grabs the nape of the hair and clips the cats nails.",then,clothes,['takes']
 The person turns around walks out of view.,person,view,['turns']
"The din was terrific, three or four of the French mitrailleuses were adding to the roar, and sending streams of bullets into the advancing Germans.",three,advancing,"['was', 'terrific']"
The blue hunter climbed with the aid of its claws to the top of the nearest pile of wood and there settled down.,blue,,"['climbed', 'with']"
Howard raised his eyes and shrugged his shoulders.,Howard,shoulders,['raised']
"""I seem to have walked right into the thick of a dime novel,"" said our visitor.",right,dime,['said']
  A woman in a long orange skirt faces the camera and gestures for a young boy to come to the stage.,young,orange,['faces']
"Then for the first time I noticed a man who sat on the high gate of the corral, looking on.",who,high,['noticed']
 The lady makes a quote sign with her fingers.,lady,quote,['makes']
"The whale-boat, manned by the tabooed crew, pulled towards the head of the inlet, while the ship lay 'off and on' awaiting its return.",tabooed,,"['pulled', 'towards']"
"Dasinger shrugged resignedly, recapped the tube, and dropped it in his pocket.",Dasinger,resignedly,['shrugged']
"After the gloom of the tunnel, Dalgard blinked.",Dalgard,tunnel,['blinked']
A woman and a man are sitting on the sidewalk playing music.,woman,playing,"['sitting', 'on']"
"There, sure enough, I found a taciturn and sombre man beside a pair of saddle-horses; and thenceforward, all night long, we wandered in silence by the most occult and dangerous paths among the mountains.",long,saddle,['found']
"I could hardly conceive a man ignorant enough to--er--er--throw away such evident good fortune--or base enough to deceive the trustfulness of womanhood--matured and experienced only in the chivalry of our sex, ha!""",I,only,['conceive']
So he scampered straight home.,So,,"['scampered', 'straight']"
 The man is now skating in a road in a residential area where he passes many homes with cars  parked on the roads.,where,,"['skating', 'in']"
"As it was, she had her embroidery frame set up on deck, with a little table by her side on which lay open a black volume of philosophy.",she,black,['had']
"There was a wide, old-fashioned, brick-floored verandah in front, with an open end; there was ivy climbing up the verandah post on one side and a baby-rose on the other, and a grape-vine near the chimney.",open,,['was']
 A baker artist mixes a cover base mixture in a plastic cup using a small paint brush.,baker,artist,['mixes']
 A man takes picture to the blindfold woman.,man,blindfold,['takes']
"Entering the room, he found Manston sitting in the chair which had been occupied by Cytherea on Edward's visit, three hours earlier.",which,visit,['found']
"He struggled violently, but was no match for my bulk, and I restrained him until he had cooled down somewhat, and had ceased trying to bite and kick me.",he,somewhat,['struggled']
"Meanwhile Aunty explains all about the tea, namin' over some of the swell dowagers that was goin' to act as patronesses, and invites him cordial to drop around on the big day.",swell,,['explains']
"He carried in his coat pocket a shallow box with grooves in it, and in the grooves strips of glass five inches long and three inches wide.",He,grooves,"['carried', 'in']"
 She then instructs on  how to clean the brushes with liquid and paper towels.,She,liquid,"['instructs', 'on']"
"He lashed the horse with all his strength, the only effect being to leave long lines on the animal's coat and cause him to kick out frantically with his hind feet.",long,,['lashed']
In one hand she carried a huge bunch of sweet-smelling gilvers.,one,,['carried']
"When you come back and sit in Pusat Tasek, the waters of the Sea rise, and half the little islands are drowned, and the Man's house is flooded, and Raja Abdullah, the King of the Crocodiles, his mouth is filled with the salt water.",mouth,salt,['come']
 Rachel Collin's trip to Chile.,,Rachel,"['trip', 'to']"
"The party, which had seemed so odd to her the night before, was already gathered round the table, still under the influence of sleep, and therefore uncommunicative, but her entrance sent a little flutter like a breath of air through them all.",therefore,,"['gathered', 'round']"
And still the dragon flew on.,still,,['flew']
"If this was an American craft, we should blow up, perhaps, but we should at all events go faster!""",perhaps,,['blow']
 More children play on the hill and pull one another along down the mountain.,More,,"['play', 'on']"
"There was no answer, as we set out along the way.",we,way,['was']
 A man in a trench coat is talking into a microphone.,man,trench,"['talking', 'into']"
 She performs several more tricks wearing different outfits with the dog and shows how well her dogs can learn new tricks.,well,,"['performs', 'several']"
 There's a fast flowing turbulent river flowing under a bridge.,,turbulent,"[""'s""]"
"Kissing the threshold of the tomb, I said my prayers with all the fervency of one who has got safe from a tempest into port.",who,port,['said']
"Inside, the man collapsed on the seat, leaning back, puffing, his hand pressed hard to his chest.",back,,"['collapsed', 'on']"
 The individual sets aside the shovel and walks towards the camera.,individual,camera,"['sets', 'aside']"
A small child paints another individual's fingernails.,small,,['paints']
 He makes hand gestures to demonstrate the correct method of holding the lacrosse stick for effective playing technique.,hand,gestures,['makes']
"And she disappeared, leaving in her father some of the merriment with which they had chased each other.",they,other,['disappeared']
"She gave me a look that was a reward in itself; and as I turned away from her, with a strong sense of turning away from the sun, I carried that look in my bosom like a caress.",away,,['gave']
" The woman shows off the blade, and charger.",woman,blade,"['shows', 'off']"
He placed the letter in a safe place and then went out on deck.,He,then,['placed']
 There are disco lights flashing in the fitness center.,,fitness,['are']
"He rushed on deck and was struck blind instantly by the night that seemed to have been lying in wait for him; he stumbled over something soft, kicked something hard, flung himself on the rail.",he,hard,"['stumbled', 'over']"
"It was growing pretty late by the time we had done; yet before we went I had learned one more piece of news, partly through a little trap I laid, and partly through my Lord Essex's clumsiness.",little,,['growing']
" Finally, she pours the mix into a microwavable safe dish and it's done.",safe,,['pours']
"The ground at the foot of the eucalypti was carpeted with grass, and from the bushes escaped flights of little birds, which glittered in the sunlight like winged rubies.",little,,"['carpeted', 'with']"
"It was now after eight, and they returned home, watching the white mists creeping up the blue fields.",white,,['was']
The fatigues which he had undergone since the king broke up his camp at Stirling had been immense.,king,Stirling,"['been', 'immense']"
"They then descended, and Stephen Bloundel, who was greatly alarmed by what he had just witnessed, strongly urged his father to remove immediately.",greatly,,['descended']
" He throws darts at a board, trying to hit the target while the crowd claps.",crowd,target,['throws']
"Then Sunny Oak's voice reached them from beyond the window--  ""Guess you've a goodish ways to travel.""",you,goodish,['reached']
 Two younger children appear outdoors with a website address overlaid.,younger,,['appear']
I realised the vagueness of my own plans as I had never done before I brought them to the test of this experience.,I,experience,['realised']
"'Oh, no,' said Jack; 'it's the way folks go up to the top of the tower; you know we often see them walking about on the top; my father went up last Easter Monday.",father,top,['went']
 There is also another game of soccer between a team dressed in red and a team dressed inn blue.,also,,['is']
 The woman then takes the contact lens back out of her eye.,woman,back,['takes']
"Ken had ridden ten miles in a 'bus with the team, and had worn one of the uniforms for some few minutes.",Ken,few,['ridden']
"""Say, why--why must you go now, Kate?",why,,['go']
"Here's the bottle;"" and Jenkins produced a bottle with castor oil in large letters labelled on the side.",Jenkins,large,"[""'s""]"
And this time he ran across Mrs. Woodchuck again.,time,,"['ran', 'across']"
These two men are shown spraying the exterior of the black car with soap.,two,,['shown']
Soon after entering the ravine the horse broke through into one of the underground cavities and fell heavily on his side.,Soon,,['broke']
"""Oh, you needn't worry,"" Emmy doggedly said, with her teeth almost clenched.",doggedly,,['said']
"He clambered into the aeronaut's place, fixing himself very carefully and deliberately.",He,himself,"['clambered', 'into']"
"Yes, he spent quite eight months out of the twelve in killing us one way and another, for when there was no more killing to be done in his own country, he would travel to others and kill there.",own,,['spent']
"""Why--"" she began, but then she got to her feet and went to the bundle, twisting the tarred rope that fastened it in a vain attempt to undo the intricate knots.",tarred,,['began']
"A man introduces the topic of the video, which is how to do a smash shot in Badminton.",which,how,['introduces']
"The central fire was still confined to the lofty tree tops, but the downward rush of wind from time to time drove the smoke into the aisles in blinding and suffocating volumes.",downward,tree,"['confined', 'to']"
Their eyes were fixed on the young man and Beale.,eyes,young,"['fixed', 'on']"
"He would break that vow no more, if it cost him his life.",more,,['break']
 We see a man up close in the camera.,man,close,['see']
A mountain full of snow appears and a man begins skiing down the slopes.,full,,['appears']
"The curtain had no chance to fall, for the Princess ran off the stage to her father, crying, ""Didn't I do well?"" while the Prince and herald had a fencing-match with the tin horn and wooden sword.",well,,['had']
A close up of a bull is seen as well as another laying on the ground.,close,well,['seen']
DECEPTION PASS The rider thundered up and almost threw his foam-flecked horse in the sudden stop.,rider,sudden,['PASS']
"Paris glittered around her as she drove, slowly, in a horse-taxi, to the Place de l'Opera on the right bank, where the grand boulevard meets the Avenue de l'Opera and the Rue de la Paix.",grand,horse,"['glittered', 'around']"
"Get on with thy story, Joseph said; and the man told that they had succeeded in tracking the band, a small one, to a cave, out of which, he said, it will be easy to smoke them if Fadus, the procurator, will send soldiers at once, for they may go on to another cave, not deeming it safe to remain long in the same one.",they,same,['said']
This was the more so because almost all previously accepted laws had been shaken as by an earthquake.,accepted,,['was']
A young girl in a ballerina costume dances on a stage.,,young,"['girl', 'in']"
A man starts serving tennis balls indoors and the title appears.,indoors,tennis,['starts']
A governess who had been kneeling before a shrine by the road hastily crossed herself and ran to the rescue.,who,hastily,['crossed']
"Tomorrow we shall, I hope, be strong enough to beat him.",I,enough,"['be', 'strong']"
 One of the women coughs as a cloud of smoke hits her in the face.,One,face,"['coughs', 'as']"
 She flips herself around and ends by jumping down.,She,herself,['flips']
"8947.  8948.  8949. Dragging him from the dark hallway, Don Marcelo conducted him to the balcony.",dark,Don,['conducted']
 The larger dog is holding a leash in his mouth.,larger,,['holding']
 man walks to a desk and sits in front of te computer drinking water and the other man is laying on the floor trying to talk.,other,computer,"['walks', 'to']"
"When the people got through with their cups of coffee or tea, mostly the last, two women went around the table, one with a big bowl for us to lean back and empty our slops into, and the other with the tea or coffee to fill up the cups.",big,,"['went', 'around']"
 The woman breaks into a dance every time the little girl ballerina taps her.,little,girl,"['breaks', 'into']"
"The afternoon was wearing late, one day toward the end of summer, and Mercy Crane sat in her doorway dressed in a favorite old-fashioned light calico and a small shoulder shawl figured with large palm leaves.",day,Mercy,['wearing']
Ulick nodded.,Ulick,,['nodded']
"He thought more of it than of any other article he possessed, and he would have surrendered every thing, except Roderick and Marmion, before he would have parted with that piece of a rawhide rope.",he,rawhide,"['thought', 'more']"
"But he comes again, and, so sure as thou shalt sit on the knees of Osiris, so surely shall he sit upon thy throne, Pharaoh.",surely,,['comes']
"""He'd have licked me.""",He,me,['licked']
"He was no longer the big, silent Norwegian who had sat at Margaret's feet and looked hopelessly into her eyes.",silent,,['was']
 They are riding around in a series of bumper cars.,They,bumper,['riding']
"""But he has left the office,"" she replied.",she,office,['replied']
A person picks up a cat off of a chair.,person,chair,['picks']
"By this time the crowd had gathered round her, yelling, hooting, and shaking their hands at her, as if about to tear her in pieces; but Richard Assheton planted himself resolutely before her, and pushed back the foremost of them.",Richard,Assheton,"['gathered', 'round']"
A person plays a violin in front of a huge crowd of people.,person,huge,['plays']
"But this seemed to be all that could be established, other than that Mr. Nestor's wallet was there, stripped of its contents.",other,Mr.,['seemed']
A person is washing their hands in a sink.,person,sink,['washing']
"""But must you go home yet?"" she asked.",yet,,['asked']
"The bill was one for eight hundred pounds, which had been given him at breakfast to endorse, and which he had simply pocketed.",he,which,['was']
A young boy wearing a black t-shirt plays congas in a band rehearsal.,young,,['plays']
"She had not looked at it before, and as her eyes fell upon the address, she stopped so suddenly that Plez, who was dozing as he walked, nearly ran into her.",he,nearly,"['looked', 'at']"
A planet such as Warlock is too big a find to throw away when there was no proof of occupancy.,planet,when,['is']
 They continue to raft down the river.,They,river,['continue']
"Mr. Gregg, at the back of the stand, forgetting for once decorum, white and trembling, was hoarse with shouting.",Mr.,Gregg,"['was', 'hoarse']"
"Then Mr. Chipperton stood up again, put his hands to his mouth, and shouted back to us: ""Bring her--right after us.",Then,Mr.,['stood']
We often drive into the city.,We,often,"['drive', 'into']"
 The person drops the spoon in the mixture and ends with text across the screen.,person,screen,['drops']
"""The first draft from the regiment went off to-day.""",first,,['went']
"Over an orange foundation, eccentric in itself and very short, was a vivid tunic covered with peacock feathers on gold tissue, with a sweeping tail behind, and on her head was the towering chest of a peacock on a gold bandeau.",,gold,['was']
"Only the evening before arriving at Cape Town, Captain Wilson had spoken to him on the matter of his affection for his daughter, and had asked his permission to speak to Frances.",evening,Captain,"['spoken', 'to']"
 Two teams play water polo against each other.,Two,,['play']
A groip of dancers are on stage doing a routine for the audience.,groip,audience,"['are', 'on']"
"It was then she mended and washed her handful of clothes, scoured her house, and did her baking.",then,,['was']
"For several minutes she sat thinking rapidly, and as she lay back upon her pillow, she smiled.",she,pillow,['sat']
"The old soldier wagged his head, rolled his goggle-eyes, until I expected to see them slip out of their sockets; placed his dirty forefinger by the side of his broken nose; solemnly ejaculated ""Coffee!"" and immediately ran off into an inner room.",them,inner,['ejaculated']
 Birds flock the sky above the dirt track.,Birds,dirt,['flock']
"The girl was still unconscious, and the wise leech shook his head over her.",wise,,['was']
"""Shall we return to the beach?"" asked Keola.",we,Keola,['asked']
"In less than ten minutes, they arrived at the entrance to the palace.",ten,,"['arrived', 'at']"
There are three young men in a house.,,young,['are']
The white water polo team huddles together.,white,water,['huddles']
What's the use bein' a private sec. in good standin' unless you can put one over on the time-clock now and then?,sec,good,"['in', 'good']"
 One of the women runs all the way into the goal.,One,way,['runs']
We see people doing a dance routine in a basketball court.,people,basketball,['see']
" Then, the man sail the boat holding a rope and lay down on the border of the boat.",Then,,['sail']
"""Miss Alison Cray being about to give up school, has pleasure in stating that she has disposed of the good-will of her establishment to Miss Jessy Langlands and Miss S. Oram, who will enter upon their scholastic duties on January 9th, at Hoods Cottage, where she most cordially,"" and so on.",where,Hoods,['has']
"Beneath him was unrolled the panorama of the valley; the Aisne was, like a silver ribbon, flowing between its willows and poplars, and ever his gaze returned, solicited by an irresistible attraction, to that road down yonder that stretched away, far as the eye could see, to the horizon.",far,,['was']
 Throws the old and dirty paper towel and reach the roll of paper towel and clean the knife.,,old,['Throws']
"The gently sloping beach along which I walked was thickly strewn with strangely shaped, colored shells; some empty, others still housing as varied a multitude of mollusks as ever might have drawn out their sluggish lives along the silent shores of the antediluvian seas of the outer crust.",others,outer,['housing']
"If you will raise me a couple of inches with your beak and fan me a little with your wing, I shall have the strength to mount to yonder white clouds which I see in the distance, where I shall receive aid enough from my family to keep me alive till I gain fresh strength from the next whirlwind.""",enough,,['have']
"He had done well under the old regime and, he was doing well under the new--thank God, or the Supreme Being, or the First Cause, or the goddess Reason herself, for all;--he would have invoked Dagon, Moloch, or Kali, quite as readily as the Saints and the Madonna, who has gone so utterly out of fashion of late.",readily,,['done']
"Somewhere in the leaves I would find her ... and we would return to the city, her head garlanded with the red leaves of a chosen-one, and the same women who had stoned her forth would crowd about and welcome her when she returned.",when,,['find']
He sat thus for many minutes.,He,many,['sat']
 We see the people at the back of the field.,We,field,['see']
 The men are then seen playing a game of beer pong with several others around and showing off a shaved head.,men,shaved,['seen']
"When the pictures and video clips of the interview and race are over, the newscaster is speaking alone back at the news station.",over,video,['speaking']
  She thumps her ashes and continues to smoke.,She,ashes,['thumps']
 A woman is explaining how to do a garden.,woman,how,['explaining']
"As Roger had heard, from her, that a trade was carried on by Mexico with the surrounding countries, by merchants who traveled in parties, with strong bodies of armed men, and that they had been at Tabasco but a few days only before he had first arrived there, and might be expected again in about a year, he was not surprised at the news.",a,,['was']
 She then puts salad on top of that.,She,then,['puts']
 She puts news paper onto the fence.,She,news,['puts']
They then begin to do a routine and some of the girls run with streamers as the rest of them hold up the girls for their stunt.,rest,stunt,['begin']
The second round opened much like the first.,second,,['opened']
Then all hands were aroused and we threw them upon the trail.,we,trail,['aroused']
 The lady does the splits.,lady,splits,['does']
"It is something when one has been wandering for hour after hour in the wet and melancholy night, suddenly to see the fair dawn breaking and burning overhead, and to know that the worst is over, for now there will be light whereby to set our feet.",burning,,['is']
"At last, one evening, when she was about twenty years of age, a certain Mr. Carr, an old gentleman with whom her father had some acquaintance, sent up a card with a pencilled message on it to the effect that he would be glad to see Dr. James.",pencilled,,['sent']
So she merely laughed--and sent Freddie no answer at all; for she hardly believed that she needed to explain to him that nothing could induce her to stir out after sunset.,nothing,sunset,['believed']
 Two men the shuffle in front of the ice and put their hands up to cheer in the end.,,Two,['nothing']
"""Don't, don't leave me, friend; bear with me; age can't help some distrust; it can't, friend, it can't.",friend,,['ca']
"She had a vivid impression of light shining downward upon the red-gray hair of Mr. Ford, as he sat down again; and of Mr. Burke saying something about ""the case,"" and about Mrs. Lonsdale being an old friend of the dead man; about her having been good enough to volunteer to shed whatever light she might have upon the case, and of their meeting being the ""most fortunate coincidence.""",enough,,['had']
" A man talks from an office, and the the young reporter in the street continues talking.",young,,"['talks', 'from']"
"McCook was to advance on the Shelbyville pike, turn to the left on the Wartrace road, and seize and hold Liberty Gap; General Granger to threaten Middleton; General Thomas to advance on the Manchester pike, and hold, if possible, Hoover's Gap; some cavalry under Turchin to establish a lookout toward McMinnville, and the balance of the cavalry under Mitchell to attack the rebel cavalry at Middleton.",General,Thomas,"['cavalry', 'under']"
"He succeeded in finding him, and eventually forced the unwilling man to leave his young wife and return forthwith.",He,young,"['succeeded', 'in']"
 He begins dealing the cards onto the table.,He,table,['begins']
  The man then demonstrates how to strap on roller blades.,man,how,['demonstrates']
"Mr. Mudge coughed in some embarrassment, and not thinking of anything in particular to say, said nothing.",Mr.,Mudge,"['coughed', 'in']"
The camera is showing an arc welder in a shop.,camera,arc,['showing']
 The man does push ups with his feet up on the parallel bars.,man,parallel,['push']
"Live as quietly and as frugally as possible, and from today begin always to set aside something, lest misfortune again overtake you.",always,,"['Live', 'as']"
 The man jokes like he is out of control on the lawnmower.,he,lawnmower,['jokes']
"But he had died game, and killed two of the 'Paches afore he went under.",afore,,['died']
 He pauses as another slides down.,He,slides,"['pauses', 'as']"
 The woman continues shaving her legs and a close up of the tool is shown.,close,up,['continues']
 A bunch of people on intertubes go by slowly.,bunch,intertubes,"['go', 'by']"
The camera shows a cake on top of a stove.,camera,stove,['shows']
 They put their mouth on a towel.,They,towel,['put']
 The lady puts a hat on her head.,lady,head,['puts']
" He waits for his ball to come back and gets prepared to take his next turn, it's another strike.",next,,"[""'s""]"
" A woman swings wildly at it with a bat, as she is blindfolded.",wildly,,['swings']
"The sun had set, and such light as remained fell cold and gray between the trees.",such,,['set']
"The skull, waxed as if with siccatif, seemed to have grown up out of the hair, which was hard and like filaments of dried coconut and hung down over his neck.",as,,['seemed']
"During this movement, Jack grasped the barrel of his pistol, held in his breath, and motioned to Blueskin, who bared a long knife, to keep still.",who,long,['grasped']
 One of the men throws a rock into the air.,One,air,['throws']
 A replay of the woman's jump plays and the woman has her two hands on her head and smiling in disbelief.,jump,woman,"['replay', 'of']"
The credits of the clip are shown.,credits,clip,['shown']
Then he rose and knocked at the door.,Then,,['rose']
"Agnes, hadn't we passed the village?",Agnes,,['passed']
"She is Mrs. Macstronachlacher; at least that was the name on the card she carried, and she was thus announced.",she,card,['was']
"Dese ere not schouts, as you faind, but jonkers on a vrolyk; and if dey'd chanshed to keel de vrow Sheppard's pet lamb, dey'd have done her a servish, by shaving it from dat unpleasant complaint, de hempen fever, with which its laatter days are threatened, and of which its poor vader died.",poor,,['ere']
"You forget that you're under arrest for the old charge yet, and though you'll get off for that, you won't go scot-free, my friend!",you,that,['forget']
"""We will,"" cried Dietrich, with solemn joy; and as he clasped Veronica again to his heart, there was that in his face and in his voice which assured her that he would never leave her again, and that they would walk in that true way of happiness and peace together.",again,,['cried']
"As he throws his lasso,he misses the cow and runs to get something before going back to the cow.",he,back,['misses']
"With an impatient imprecation, Fairley darted by her and rushed into the wood.",impatient,,"['darted', 'by']"
 Exercises such as yoga and bicycling are demonstrated by those in the gym.,Exercises,such,"['demonstrated', 'by']"
"Leave him to me!""",,me,['Leave']
 The man then quickly tattoos her face and transitions into her sitting up then back down again to show off her tattoo.,man,again,['tattoos']
"Then the ladies at the table inclined their heads at me and smiled, while the men (especially those who were the most strangely dressed) rose from their seats and bowed deeply.",especially,,['inclined']
A young man is seen holding a tennis racket and looking back to the camera smiling.,young,,['seen']
 People go horseback riding down a trail.,People,trail,['go']
 The person then kicks the ball several times to the goalie.,person,times,['kicks']
"And putting her handkerchief to her eyes, she walks out of the dining-room.",she,dining,"['walks', 'out']"
