sentence,source,target,relation
dark cat screwed yellow eyes from the sun lying on the windowsill,dark,,"['screwed', 'yellow']"
civil and political rights organization has asked politician to stay away from the event .,civil,rights,['asked']
bronze statue the city is cultural site and major tourist attraction,city,,"['is', 'cultural']"
monarch receives gifts from the crowd on arrival .,monarch,arrival,['receives']
A man stands behind a counter with a lot of donuts on it.,man,it,"['stands', 'behind']"
sword with an impressive looking guard giving the day and age of the sword,,impressive,"['sword', 'with']"
a aircraft flies over us state during a training mission,aircraft,training,"['flies', 'over']"
nothing more unconditional than the love of a dog .,,unconditional,['nothing']
coach calls a play against sports team during the third quarter .,coach,third,['calls']
balconies decorated with pots of geraniums,,geraniums,['balconies']
a heart shaped wall hanging made from treasure washed up and collected on the beach .,shaped,,['washed']
helicopter flying over a city,,city,['helicopter']
these earrings with diamonds showcase carats of genuine diamonds .,earrings,genuine,['showcase']
reflection of multicolor corals on the top of coral reef in a mirror of water surface,,coral,"['reflection', 'of', 'multicolor']"
the bell tower of a church on a small tropical island,,tropical,"['tower', 'of']"
dish without any added flavor .,,added,"['dish', 'without']"
sunlight from the window at dark room,,dark,"['sunlight', 'from']"
Someone is getting their wrist and hand bandaged in a very precise and professional manner.,wrist,precise,['getting']
astronaut has just broken the record for the longest time spent in space by country,astronaut,longest,['broken']
concrete gravity dams are constructed such that their own weight resist the forces exerted upon it,own,,"['constructed', 'such']"
stack of rocks on the summit of a hill,,hill,"['stack', 'of']"
A FedEx airplane flying with it's landing gear down.,,landing,['airplane']
alignment of wind turbines generating sustainable electricity amid the fields,alignment,sustainable,"['generating', 'sustainable']"
herd of goats on pasture on an alpine road coming towards camera,,alpine,"['herd', 'of']"
the heron with fish in the beak flying over lake,,lake,"['heron', 'with']"
classmates experience a profound sense of community as they learn and grow together .,profound,,['experience']
monarch presents the trophy to tennis tournament champion after she won competition,tennis,tournament,['presents']
a car moves past aircraft at the airport,,car,"['moves', 'past']"
seamless pattern with a heart shape inside the circle .,,seamless,"['pattern', 'with']"
some of the appetizers served during the party .,,party,"['some', 'of']"
It is time for the elephant to feed her baby.,elephant,baby,['is']
a bodhi tree grows around the head of a statue .,bodhi,tree,"['grows', 'around']"
couple out in the field checking on herd of cattle,,out,['couple']
tower is part of the ancient city walls that surround part of the old town,ancient,city,['is']
ornamental grasses and shrubs add color and texture to a garden in the fall .,ornamental,,['add']
a priest prays in front of a figurine depicting builder during a good friday mass .,priest,good,"['prays', 'in']"
Teenagers are performing a concert in church,Teenagers,church,['performing']
the site of a planned development of mobile homes,,mobile,"['site', 'of']"
The bathroom has a shiny wall and tub,bathroom,shiny,['has']
chicken on the hens eat green grass on a meadow,chicken,green,"['eat', 'green']"
"A man, in a shop, is operating a machine which is producing products.",which,products,['operating']
young musician and punk at a concert of underground music,,underground,['musician']
island with a palm tree and a hammock .,,palm,"['island', 'with']"
logs burning bright in the stove,,bright,['logs']
An ornate clock with lights posted on a sidewalk ,,ornate,"['clock', 'with']"
finding the equation of line of best fit example .,,fit,['finding']
tilt up over coins to a red purse containing coins and bank notes,,red,['tilt']
dolly shot of a dense green forest with sunlight breaking through the trees,,green,"['shot', 'of']"
The pizza on the table has many toppings of meat and vegetables.,pizza,many,"['has', 'many']"
temple of deity or type of place of worship .,,worship,"['temple', 'of']"
cactus in a pot at the garden,,garden,"['cactus', 'in']"
Different types of fruit on a plate placed next to each other.,,next,"['types', 'of']"
Two containers with two different salads containing lettuce.,,different,"['containers', 'with']"
Its a sunny day and the train is moving over the bridge,sunny,,['day']
an imitation of a mural decorates a wall,imitation,wall,['decorates']
biological species is a super ingredient that can be included in many dishes .,super,,['is']
frame from abstract flowers in the shape of heart .,,abstract,"['frame', 'from', 'abstract']"
great white shark breaches the water very close to camera .,white,,['breaches']
style stained glass windows with a color palette,,stained,"['windows', 'with']"
slow motion fps of trees taken just after sunrise in the morning during autumn,slow,motion,['taken']
prince prince of wales visits architect inspired book,prince,prince,['inspired']
A white dish filled with broccoli and cauliflower.,,white,['dish']
a brown bear walking around his habitat at the zoo,,brown,['bear']
the custom made windows let in tons of natural light into a city .,windows,natural,['made']
A bull fighter has speared the bull and the bull lies on the ground bleeding out and dying.,bull,ground,['speared']
A plane landed on a runway surrounded by grass and yellow flowers.,plane,grass,"['landed', 'on']"
statue located at the parking lot above tourist attraction .,,tourist,['statue']
team of students analyzing details of the task in the university .,,university,"['team', 'of']"
A giraffe bending its head down next to rocks.,,next,['giraffe']
talks with politician after he stopped the fight .,he,fight,"['talks', 'with']"
The interior of a bathroom made of stone and colored glass.,,stone,"['interior', 'of']"
protect your car against the accumulated salt from winter,,accumulated,['protect']
floating crane and marine tug in the port,,crane,"['tug', 'in']"
this contemporary hotel room has natural stone and aged wood featured throughout .,contemporary,hotel,"['has', 'natural']"
jagged weathered rocks on the coast .,,weathered,"['rocks', 'on']"
the skyline is lit up in this evening shot overlooking tourist attraction from neighborhood .,skyline,tourist,['lit']
Several giraffes eating and moving around their habitat.,,Several,['giraffes']
Several people use a shovel to place dirt on a coffin at a funeral.,Several,,['use']
"A spoon sits in a dish of tofu, broccoli, and mushrooms on a gas stove.",spoon,gas,"['sits', 'in']"
the moon reflects on the water,moon,water,"['reflects', 'on']"
doctors looking at a patient while leaning on a bed,,bed,['doctors']
wind swept tree in a field,wind,field,['swept']
A man eating a salad right above a keyboard.,,right,['man']
new building being constructed for a city,,new,['building']
a hazy morning has made mughal structure look like a dark silhouette against a foggy foreground .,mughal,structure,['made']
rays of sunlight through autumn leaves .,,autumn,"['rays', 'of']"
physicist claimed his second win of the race on stage,physicist,second,['claimed']
cranes and work in progress on construction site in the city,,construction,['cranes']
A couple of brown and black bears standing next to each other.,,next,"['couple', 'of', 'brown']"
english metropolitan borough is a city says politician ahead,politician,,['says']
patriotic square symbols of the frame with empty space for your text and images,,empty,"['symbols', 'of']"
a carpet of bluebells illuminated by early sunlight in a woodland,,early,"['carpet', 'of']"
cactus growing on a tree,,tree,['cactus']
slow motion of the blurred and glowing small christmas trees,,small,"['motion', 'of']"
a devotee pulls a chariot during the festival of holiday .,devotee,holiday,['pulls']
opening blue dress from beauty and the beast .,,blue,"['opening', 'blue']"
tips for how to help your dog adjust to a new home and new space .,how,,"['tips', 'for']"
corner in perspective of a red brick building,,red,"['corner', 'in']"
watching the sun come up in a different habitat every morning this semester has been a wondrous experience .,morning,,['been']
super sports car won the award .,super,sports,['won']
A ribbon is slid under the package and tied in a bow.,ribbon,bow,"['slid', 'under']"
vehicles respond to an incident .,vehicles,incident,"['respond', 'to']"
summer wild flowers growing on the edge of a barley field,,wild,['flowers']
dancers entertain guests from wedding before they walk down the aisle,they,aisle,['entertain']
empty classroom in an elementary school with tables and chairs,,elementary,"['classroom', 'in']"
coal is being loaded on a historical steam train,coal,historical,"['loaded', 'on']"
Chocolate dessert on plate covered in powdered sugar.,,powdered,"['dessert', 'on']"
police use pepper spray to keep protesters back outside a solidarity,police,back,['use']
a model prepares backstage before the presentation .,model,presentation,['prepares']
politician and her husband speak with religious leader during a visit,politician,religious,"['speak', 'with', 'religious']"
"People are talking, and  using a flashlight to search a cave.",People,cave,['talking']
Two dragons hide in the basement.,Two,,"['hide', 'in']"
heavy horse towing a tourist laden barge along a canal,,laden,['horse']
passenger airplane passing by among cumulus clouds high in the sky at daytime .,,high,['airplane']
"A bathroom with mirror, toilet, and sink ",,mirror,"['bathroom', 'with']"
football player on way to breaking record of clean sheets during the match,,clean,"['player', 'on']"
a plate with a baked piece of lasagna and smal sides ,,baked,"['plate', 'with']"
balloons of various colours floating up the sky,,various,"['balloons', 'of', 'various']"
An illuminated toilet with a bright light on it's lid.,,bright,"['toilet', 'with']"
eating bananas to reduce the effects of stress,,stress,['eating']
firefighters gear up to fight fire in a home,firefighters,home,['gear']
A bathroom with a toilet and a bathtub on tiled floor.,,tiled,"['bathroom', 'with']"
conductor acknowledges applause after his first performance,conductor,first,['acknowledges']
a wall mounted bathtub that maximizes space inside the bathroom .,mounted,,['bathtub']
a fairy is a mythical creature of folklore and mystery dressed the colors of winter,fairy,mythical,['is']
A dog is helping to herd the sheep for the farmer.,dog,farmer,['helping']
samples of round rods from brass on the table for assessing a quality and other characteristics .,,round,"['samples', 'of', 'round']"
young colt staying close to mother grazing fresh grass in a paddock,young,,['staying']
stairs lead up to tower .,stairs,tower,['lead']
life is an ordinary flock of goats and sheeps in the mountains of mountain range,life,ordinary,['is']
the sarcophagus of fictional character of a relief depicting the death,,fictional,"['sarcophagus', 'of', 'fictional']"
nail polish flowing from the bottle .,,nail,['polish']
an underwater shot passing the destroyed coral reefs .,,coral,['shot']
Two women in snowsuits laying in the snow making snow angels.,Two,,['making']
a tree is dressed in lights .,tree,lights,"['dressed', 'in']"
sports car with author during the race,,sports,"['car', 'with']"
this main room has plenty of space for two .,main,,['has']
fireworks explode over tourist attraction with the temple during celebrations,fireworks,tourist,"['explode', 'over']"
image of building cranes against the sky,,sky,"['image', 'of']"
a texture of stones composing a wall,,wall,"['texture', 'of']"
black clouds and blue sky indicating that a storm is coming,blue,,['clouds']
Two chicken sandwiches with lettuce and cheese on wheat bread.,,Two,"['sandwiches', 'with']"
A toilet that is in a bathroom near tools.,that,tools,['toilet']
over looking tourist attraction with colorful red and orange cliffs under blue skies with white fluffy clouds,,fluffy,['over']
"a bathroom with a toilet, tub and window",,toilet,"['bathroom', 'with']"
the suite boasts a generously sized bathroom with a standing tub big enough for two,suite,enough,['boasts']
the city uses unique parking to prevent cars from accessing specific reserved,city,specific,"['uses', 'unique']"
There is a train moving through a track yard,,track,['is']
organisation will break ground next month on a temple to be built at its current site .,organisation,current,['break']
rock type that are formed when melted rock from inside the earth cools and hardens .,that,when,['cools']
A young man is shown jumping over a barrel in a parking lot with his skateboard.,young,,['shown']
students with friends and family after receiving their degrees in a ceremony,,ceremony,"['students', 'with']"
full moon wrapped in dark clouds on a windy day,,windy,['moon']
a religious procession crossing the bridge over geographical feature category,,geographical,['procession']
shade tolerant flowers in the garden,,tolerant,"['flowers', 'in']"
"Now, the brunette enters a large modern apartment and approaches someone.",Now,,['enters']
A mouth was whistling with his mouth and blinking his eyes,mouth,eyes,"['whistling', 'with']"
wall on old ruins of a medieval building,,medieval,"['wall', 'on', 'old']"
young sport woman exercising with heavy steel dumbbell outside on nature in the park .,,outside,['woman']
cricket player in action during the match on monday .,,cricket,"['player', 'in']"
regional plane is taxiing to the runway at the airport,regional,,"['taxiing', 'to']"
police officers block a road near a home of person .,police,officers,['block']
A train is going on rails over a bridge,train,bridge,"['going', 'on']"
red and gold trees on urns marking the entrance to a hotel,,red,"['trees', 'on']"
tourist attraction located on a hill overlooking the road near village,,tourist,['attraction']
little boy as chemist doing experiment with chemical fluid in the laboratory,little,,"['boy', 'as']"
herd of deer standing on the meadow at sunrise,,sunrise,"['herd', 'of']"
a strong flare erupted into space from an active region that was roughly facing towards earth .,active,,"['erupted', 'into']"
parts of a flower felt board,parts,flower,['felt']
life after mountains are a mountain range in the province .,life,mountain,['are']
fans during a match as part of the brazilian championship at stadium .,,brazilian,"['fans', 'during']"
adding a grille to automobile model,,automobile,['adding']
A girl looks at the painting that inspired her tattoos.,that,tattoos,"['looks', 'at']"
there is a train that is approaching the train stop,that,train,['is']
ancient map ofa city with the tribes .,,ancient,['map']
wallpaper probably containing a business suit and a well dressed person called actor as tv character,wallpaper,dressed,['containing']
Assortment of fresh herbs with cheese o pizza served with wine.,,fresh,"['Assortment', 'of', 'fresh']"
a planet and its moon resisting the relentless heat of the giant orange sun,,giant,['planet']
The couch in this room is covered with a sheet. ,couch,sheet,"['covered', 'with']"
a farmer is working in his high technology farm to grow vegetables,farmer,high,"['working', 'in']"
fans made their way to station after a match last year,fans,match,['made']
turn old jars into twine wrapped vases .,,wrapped,"['turn', 'old']"
The clock tower stands high above the city,clock,tower,['stands']
the aurora borealis lights up the sky above a city,aurora,borealis,"['lights', 'up']"
The plate has fruits and nuts covering it.,plate,it,['has']
monarch butterfly taking nectar from a flower .,monarch,butterfly,['taking']
a pan shot from left to right of a lake and mountains,,pan,"['shot', 'from']"
one of many cars that visitors can check out .,many,,"['one', 'of', 'many']"
supermodel and costume designer prepare backstage at the fashion show during fashion week .,supermodel,fashion,['prepare']
a group of tourists trekking through primary rainforest,,primary,"['group', 'of']"
i want this piece of art framed and on my wall .,piece,wall,['want']
type of place of worship of artwork featuring religious aspects and a temple or place of worship,,religious,"['type', 'of']"
such a cute gray dress paired with casual boots and black jacket,,casual,['dress']
a farmer tending his crops in a mountain meadow at the base,farmer,mountain,['tending']
mountain rising out of the clouds sunrise,mountain,clouds,"['rising', 'out']"
A frosted chocolate cake on a glass platter at a garden party.,,frosted,"['cake', 'on']"
the outer western wall is bathed in golden light just after sunrise .,western,,"['bathed', 'in', 'golden']"
pairs of jeans cut and sewn together to make a skirt,pairs,together,['cut']
eagles fighting over a salmon in winter,,winter,['eagles']
cows graze in the meadow and eating grass,cows,grass,"['graze', 'in']"
A young female weather reporter discusses the upcoming forecast and high temperatures.,female,weather,['discusses']
A steam engine style train pulling passengers in a park.,steam,engine,['train']
the hook of a crane in front of a motorboat at the port .,,port,"['hook', 'of']"
The motor cycle is parked in the grass,motor,cycle,"['parked', 'in']"
A skateboarder in a park grinding on a rail.,,rail,"['skateboarder', 'in']"
catamaran passing other boats as it leaves english civil parish,other,,['catamaran']
Two men entertain the crowd by playing their guitars.,Two,,['entertain']
olympic athlete fights for a loose puck in a game,olympic,athlete,"['fights', 'for']"
breathing life into the living room,,living,['breathing']
"The little girl is at the hair salon, getting her hair shampooed by the stylist.",hair,hair,"['is', 'at']"
"A child is wiggling his eyebrows and talking to his father, who laughs.",who,father,['wiggling']
toilet and sink area in an airplane bathroom,,toilet,"['area', 'in']"
view across the illuminated city at night,,illuminated,"['view', 'across']"
grumpy boys reach the summit in a cloud,grumpy,,['reach']
this stunning pendant features a dark brown finish with clear crystals that distribute light .,clear,,['features']
The bathroom has a splash of color with the blue tiles.,bathroom,blue,['has']
A couple of young boys petting a small donkey before going over to pet the deer.,,small,"['couple', 'of', 'young']"
politician listens politician during his speech .,politician,speech,['listens']
love this pic taken from a blog written after a day out .,,day,['love']
migrants wait to be rescued as they drift nautical miles north off the coast .,they,north,['wait']
politician inaugurates an event on trade at a hotel on saturday .,politician,saturday,['inaugurates']
People eat chunks of meat.,People,meat,['eat']
geometric pattern in the form of a labyrinth in monochrome colors with textures,,geometric,"['pattern', 'in']"
the mist moving over mountains,,mountains,['mist']
time lapse of dusk falling on mountains .,,time,"['lapse', 'of']"
the leaves of biological species turn color from green to yellow in the autumn,leaves,green,['turn']
A living room with a large brick faced fireplace.,,faced,"['room', 'with']"
a red cat lying down on the sofa at home,,red,['cat']
A cyclist leading the pack in a bike race.,,bike,['cyclist']
A kid in a stroller asks his mom for a snack,kid,snack,['asks']
what is media genre is the study of living organisms,media,genre,['is']
celebrity and friends visit amusement park,celebrity,amusement,['visit']
close up shot with a bee descending on a white flower to extract the pollen,,white,"['shot', 'with']"
some of the pots offer a home for trees taking root .,trees,root,['offer']
cyclic diagram with an arrow and place for different elements,,different,"['diagram', 'with']"
There is a man in the middle of a crowd breakdancing in what looks to be a central square.,what,crowd,['is']
comic book based on the movie,,comic,['book']
a shorter version of dress is everything i need this summer .,i,dress,['is']
old shepherd herding large flock of sheep and goats on the slopes,old,,"['herding', 'large']"
everything you need to know about computer .,you,computer,['everything']
two ladies rob a bank in the summertime,two,,['rob']
Two men in the competition are demonstrating their skills in front of judges.,Two,,['demonstrating']
steering wheel and leather seats in a luxury wooden motor boat,,wooden,"['seats', 'in']"
colorful chairs overlook a sparkling lake with a boat in the distance,colorful,,['overlook']
The John Deere tractor pulls the red trailer through the field.,John,Deere,['pulls']
cities in the clouds and fog from around the world,,world,"['cities', 'in']"
football coach argues with a referee during loss .,football,coach,"['argues', 'with']"
the round arch of a ceiling is shined with beams,round,,"['shined', 'with']"
senior couple having a drink on vacation,,senior,['couple']
A white church with a giant clock tower mounted to it's sides.,white,,"['mounted', 'to']"
dead leaf with autumn colors floating on the water,,dead,"['leaf', 'with']"
bulb hanging light with a spiral shape,bulb,spiral,['hanging']
members descend hewitt mountain after treating and evacuating a fallen walker,members,fallen,['descend']
"Small bathroom with rug, sink, toilet, and shower curtain.",Small,,['shower']
A mouse for a computer with a red bottom.,,red,"['mouse', 'for']"
a religious students walks inside mosque during the gathering for students who had successfully memorised religious text .,who,religious,"['walks', 'inside']"
young woman walks across the bridge over creek in the forest .,young,,"['walks', 'across']"
freight train rounds a bend in hills above us state,,freight,['rounds']
a barefoot wedding on the beach sounds like a dream come true .,barefoot,,"['sounds', 'like']"
Two soldiers getting ready to fire their guns at the enemy.,Two,,"['getting', 'ready']"
a flower growing from cracked cement,,cracked,['flower']
army soldiers gather around military vehicles during a patrol .,army,soldiers,"['gather', 'around', 'military']"
"Someone stares at her, then averts his stricken gaze.",Someone,stricken,['averts']
a sweat filled hour and a half hike through the jungle you encounter this meter high waterfall .,a,,['encounter']
A badly battered umbrella lying on the grass,,battered,['umbrella']
autumn leaves lying on the grass,autumn,grass,['leaves']
a single branch with pink flowers flowing in the wind,,pink,"['branch', 'with', 'pink']"
"A close shot of a bathroom shower, toilet, and hung towels. ",,close,"['shot', 'of']"
the troops from around the world that served country,that,country,"['troops', 'from']"
visit country in spring to discover a city .,,city,['visit']
A lot of motorcycles parked next to each other.,,next,"['lot', 'of']"
ship docked in the harbor,,harbor,['ship']
the immigrant ship leaving harbour bound for country .,,immigrant,['ship']
a stone wall surrounds a city in the desert,stone,wall,['surrounds']
players sign autographs during the official fifa world cup portrait session,players,official,['sign']
hands pointing to a clock .,hands,clock,"['pointing', 'to']"
student gathered around a computer .,student,computer,"['gathered', 'around']"
waves in the lake beyond the grass,,grass,"['waves', 'in']"
looking east as the sun rises over town and the pier,sun,town,['looking']
A hot dog wrapped in bread next to a cup of mustard.,,next,['dog']
Two elephants eating from trees in a field.,,Two,['elephants']
nothing says spring like festival,nothing,festival,['says']
elf christmas pattern ... seamless repeated texture made of a lot of elf,,repeated,['pattern']
A fluffy sheep stands in hay in a pen.,fluffy,,"['stands', 'in']"
built this iconic resort is known for its red shingled roof and luxury accommodations .,,roof,['built']
create depth and texture in a bathroom with board and batten .,,board,['create']
man sleeps on the trunk of a palm tree,man,palm,"['sleeps', 'on']"
a disturbing book that takes you to a different world and time .,disturbing,,['book']
close up portrait of a horse .,,horse,['close']
mother and daughter collects a bouquet of autumn leaves in the park against the sunlight,mother,autumn,['collects']
actor posed on the red carpet with their arms around each other as they arrived to awards .,red,,"['posed', 'on']"
"Then he turns and runs out to the sidewalk, until his face fills the screen.",face,screen,['turns']
these blankets are made with the pattern found in the book from the next pin,blankets,next,"['made', 'with']"
"Hot dogs, onions, herbs, and a pepper are in a crockpot. ",Hot,,"['are', 'in']"
football player sported black sunglasses during the session as he put his players through their paces,black,,"['sported', 'black']"
A pilot is about to go fly an airplane.,pilot,airplane,"['is', 'about']"
Several giraffes seek out shade in their enclosures.,Several,,['seek']
man in canoe in the floating village .,,floating,"['man', 'in']"
marines provide security while armed force confirm a simulated,armed,,['provide']
"Children in uniforms, pads and halmets play football",Children,football,['play']
a train is in a tunnel by a station,train,station,"['is', 'in']"
the universe with planet and stars,,planet,"['universe', 'with']"
view from the tower looking towards river flowing through a city,,city,"['view', 'from']"
family getting fresh water from a well,family,fresh,"['getting', 'fresh']"
A zebra stands near a giraffe in the wilderness.,zebra,wilderness,"['stands', 'near']"
an old beech tree with initials carved on its trunk,,old,"['tree', 'with']"
"Someone lunges with a punch, but a hand grabs his wrist.",hand,wrist,"['lunges', 'with']"
dark clouds gather as field against uk constituent country during the first npower test match,dark,,"['gather', 'as']"
visitors will find charming cobblestone streets throughout the city .,visitors,charming,"['find', 'charming']"
"A pomegranate, orange, grapes, strawberries, a banana and an apple.",,,['grapes']
view of local train traveling on rail tracks with flourishing cherry blossoms along the railway,,flourishing,"['view', 'of', 'local']"
these shutters are simple but add rustic style to the exterior of the home .,shutters,rustic,"['are', 'simple']"
deciding which kind of wine to buy,,wine,['deciding']
A large giraffe looking up at the sky.,large,,['looking']
fans look on as players warm up ahead of the match .,players,ahead,['look']
cargo ship at a pier with loading cranes in port,,loading,"['ship', 'at']"
short purple curly hair ... celebrity rocks a short and wavy purple hairstyle at awards .,,purple,['rocks']
bridge over a canal with foliage reflected strongly in early morning light .,bridge,early,['reflected']
a green John Deere tractor in a field pulling a red trailer.,,red,"['tractor', 'in']"
the road inside deep forest during morning in long exposure .,,long,"['road', 'inside', 'deep']"
An orange and white train traveling past a forest filled with lots of green trees.,,green,['train']
a wooden ceiling gives the lofty space a look of added warmth .,wooden,,['gives']
event occurs when the moon passes .,when,,['occurs']
a group of young doctors and nurses talking together over a medical report,,medical,"['group', 'of', 'young']"
a woman shopping for vegetables in a supermarket holding an electronic tablet .,,electronic,['woman']
a misty december morning at the lake of nature reserve near the seaside town,,misty,"['morning', 'at']"
A big white dish full of food with broccoli on top.,,full,"['dish', 'full']"
detail of the facade of church with statues and mosaics,,statues,"['detail', 'of']"
interiors are modern with concrete floors softened by large windows that let in ample light .,large,,"['are', 'modern']"
computer generated fractal image with a floral design is green tones .,generated,floral,"['is', 'green']"
colorful stained glass inside the basilica,,stained,"['glass', 'inside']"
beach scene with free space for adding text or images .,,free,"['scene', 'with', 'free']"
man is carried off the pitch after he is injured during the match,he,match,['carried']
a soldier provides security as patrol through a village in province .,soldier,province,['provides']
footballer suffers heartbreak again after football team lose another final against a city,again,football,['suffers']
roses and orchids for a tropical bouquet,,tropical,['roses']
a field of dried corn,,dried,"['field', 'of']"
a volunteer leading out a team of athletes during ceremony .,,ceremony,['volunteer']
a painting of a canola field under an expansive blue sky,,blue,"['painting', 'of']"
time lapse of clouds and mist rolling at sunrise,time,lapse,"['rolling', 'at']"
golfer makes the final putt to win recurring competition held,final,,['makes']
people looking at a shark in an aquarium .,,aquarium,['people']
biological species the first flower to bloom in my new wild flower garden,first,,"['bloom', 'in']"
using statues of the buddha in your garden,,garden,['using']
The woman and her daughter were hiking through the forest.,woman,forest,"['hiking', 'through']"
the fires that broke out were extinguished after they were reported,they,,['extinguished']
cyclists racing along the road .,,road,['cyclists']
view onto the moat around type of place of worship,,worship,"['view', 'onto']"
a good example of a printed label to get your wedding guests using the correct tag,printed,wedding,"['example', 'of']"
red flower on the green branch in the garden,,green,"['flower', 'on']"
"A plate with broccoli, potatoes and a meat with sauce arranged on it.",plate,it,"['arranged', 'on']"
taking the time to make a fancy breakfast on saturday mornings,,fancy,['taking']
farmer loading a bamboo basket with harvested tobacco leaves and carrying it to his bullock cart,,harvested,['farmer']
spacecraft less than a month away from bodies with heliocentric orbit,,heliocentric,"['spacecraft', 'less']"
the windows in this bathroom are frosted to provide privacy .,windows,privacy,['frosted']
hanging bells outside the temple,,hanging,"['bells', 'outside']"
A boy is playing the violin with a man accompanying him on the piano.,boy,piano,['playing']
a color horizontal image of the beach and the sea with sun rays streaming through storm clouds,,horizontal,"['image', 'of']"
baking homemade cookies with a shape of a christmas tree,,homemade,"['baking', 'homemade']"
old bridge spanning a little creek,,little,['bridge']
politician speaks to a crowd during a tour,politician,tour,"['speaks', 'to']"
"Facing the ship, he cocks the gun and raises it in the air.",he,air,['cocks']
Sheep flock along a paved highway that i between two grassy hills.,paved,,['that']
give a heart shaped locket for holiday,,shaped,['give']
stained glass window in the nave shows monarch at prayer,stained,glass,['shows']
sharing the good times with friends,,good,['sharing']
roman structure is probably the most iconic example of architecture,roman,,['is']
Numerous head of cattle are grazing in the grass.,Numerous,,"['grazing', 'in']"
cricketer in action during day of the match .,,match,"['cricketer', 'in']"
athlete returns a punt against american football team .,athlete,american,['returns']
tips for visiting national park in the fall .,,national,"['tips', 'for']"
mother and son swimming in the sea at sunset .,,sunset,['mother']
A cat inside a fridge investigating a pack of food.,,food,"['cat', 'inside']"
profession is checking the engine of a modern car,profession,modern,['checking']
trees add a lovely sculptural element to a room,trees,sculptural,['add']
couple relaxing in hammock on a lake,,lake,['couple']
literary analysis requires you to provide a detailed close analysis of a single passage within a text .,literary,,['requires']
sunlight shining through dark clouds onto mountains and a lake,,dark,['sunlight']
tourist attraction and clouds reflect in a lake,tourist,attraction,"['reflect', 'in']"
a collection of stars and gases make up a beautiful spiral galaxy out in space .,collection,spiral,['make']
a huge lightning bolt strikes the side,huge,lightning,['strikes']
there is another large bed in the loft overlooking the living areas .,,living,['is']
this portrait of the wife of a consulate member demonstrates skill with the paintbrush .,portrait,consulate,['demonstrates']
black and white furry cat is lying on a dusty rocky road .,furry,,"['lying', 'on']"
One character falls off the map and a third character joins the fight.,third,,"['falls', 'off']"
the wedding hairstyles contains best ideas for black women with medium to thick hair .,wedding,hairstyles,"['contains', 'best']"
a model poses detail at presentation during fashion week,model,fashion,['poses']
footballer spent during a match vs football team,footballer,football,"['spent', 'during']"
the light at the end of the hall,,hall,"['light', 'at']"
comedian and wife arrive at the premiere of movie,comedian,movie,"['arrive', 'at']"
A newscaster gives us the news in what sounds like Arabic.,what,Arabic,['gives']
A train is moving along on a track that appears to lead right into the snowy mountains.,along,,['moving']
florists buy wholesale flowers on the eve of holiday,florists,wholesale,"['buy', 'wholesale']"
The man is buying a lot of fruit.,man,fruit,['buying']
time lapse of moving fog over the forest in alps,,time,"['lapse', 'of']"
A man driving a golf ball off a tee onto the fairway.,,golf,['man']
A polar bear with his chin raised lies on a rock.,polar,,['raised']
circular windows of varying sizes fill industry with natural light,circular,,['fill']
row of traditional terraced cottages in the village in summer with clear blue sky,,blue,"['row', 'of', 'traditional']"
A toilet with its lid raised in a stall.,,stall,"['toilet', 'with']"
ground level shot from inside the grass on meadow in the afternoon .,,ground,['level']
wheat field along the road on a bright day of summer,,bright,"['field', 'along']"
A pair of elephants are shown in a field.,pair,field,"['shown', 'in']"
"Someone grabs a grenade from an open crate and hurls it into enemy ranks, exploding several hydra soldiers.",Someone,several,['grabs']
football player is blocked by defense during the third round match .,football,player,"['blocked', 'by']"
i want my tattoo to end up looking like this .,tattoo,this,['want']
Chocolate cupcakes on white plate with blue frosting.,,blue,"['cupcakes', 'on', 'white']"
junior will surely get bored with the instant meals packed for him during the weekends .,junior,instant,"['get', 'bored']"
a herd of zebras together in a savannah.,,together,"['herd', 'of']"
A room is decorated with multiple layers of curtains.,room,multiple,"['decorated', 'with', 'multiple']"
dog trapped in a barn finally gets a much needed haircut,dog,needed,['gets']
portrait of an older mother and daughter in studio,,older,"['portrait', 'of']"
bassist of filter performs live in concert,bassist,live,['performs']
A woman holds a jar that has several different items in it.,that,different,['holds']
gaze out onto the fabulous garden whilst eating your breakfast through these french windows .,,french,['gaze']
There are several books in the living room on the book case,,several,"['are', 'several']"
"The gantry turns, moving someone away from the gun, and pulling someone off the scaffold.",gantry,away,['turns']
loving old couple on the couch at home in slow motion,,slow,"['loving', 'old']"
shades of blue with some purple accents .,,purple,"['shades', 'of']"
customers are seen buying groceries from a mini market .,customers,mini,['seen']
A train is making its way into the train station.,train,train,['making']
sheep in a pen awaiting sale,,awaiting,"['sheep', 'in']"
a city ... small town feel and a beautiful place to live .,small,,['feel']
at annual company retreat these employees rented luxury sports cars for the day .,annual,company,['rented']
day comes to a colorful end above a modern dairy farm,day,modern,"['comes', 'to']"
"A mini pizza with olives, tomatoes, mozzarella and parmesan is on the plate.",mini,,"['is', 'on']"
"He says nothing, keeps control of himself.",He,himself,['says']
beauty and makeup icon set in trendy linear style in circle .,,linear,['icon']
view of a city as seen from a moving train,,moving,"['view', 'of']"
A girl squirts out various colors on a shirt in order to form a rainbow pattern.,girl,various,['squirts']
cadets during a ceremony for veterans and members of their family in honor .,,honor,"['cadets', 'during']"
Brown bears relaxing and playing in a pool at the zoo,,Brown,['bears']
