sentence,source,target,relation
This lifts the weight F of the block.,This,weight,['lifts']
I only ask to be free.,I,,['ask']
Odia culture has highly influenced this region.,Odia,culture,['influenced']
He earned extra money by renting a room in his house to a lodger.,He,extra,"['earned', 'extra']"
Grades one through eight were taught and graduation certificates were handed out.,graduation,certificates,['taught']
a man is making a red and black bicycle jump in a city skate park.,man,red,['making']
A girl in a pink checkered coat walks down a hallway followed by another younger girl.,girl,younger,"['walks', 'down']"
Her grandpa bought her a new boomerang when he last visited.,when,,['bought']
He served as the third Governor of Dakota Territory.,He,third,"['served', 'as']"
He is buried at Arlington National Cemetery in Virginia.,He,Arlington,"['buried', 'at']"
The village was formed when two agricultural villages Berkel and Enschot eventually merged.,agricultural,,['formed']
It uses the Paasche Index Formula.,It,Paasche,['uses']
Reed was described as reclusive and introverted however he has since denied this.,however,,"['described', 'as', 'reclusive']"
Jan Lievens painted him marvelously.,Jan,Lievens,['painted']
His birth name was James Alexander Glenn.,birth,name,['was']
I was Hump cabin boy on the schooner Ghost.,I,schooner,['was']
Davis was a member of the Louisiana State University track and field team.,Davis,track,['was']
A girl is riding camels on the beach.,girl,beach,['riding']
Man surfing on a brightly colored surfboard.,Man,colored,"['surfing', 'on']"
The reason of reflection may be explained as a discontinuity in the propagation medium.,reason,propagation,"['explained', 'as']"
Her comeback was not very successful being hampered by injuries.,comeback,very,['was']
A distinguishing feature of McCoys performances was his manner of speech.,distinguishing,,['was']
Mathias was sacked and replaced by John Benson.,Mathias,John,['sacked']
Those who dont learn from history are doomed to repeat it.,who,it,['doomed']
I genuinely am sorry for what happened.,genuinely,,"['am', 'sorry']"
The shop folks were taking down their shutters and people were opening their bedroom windows.,shop,folks,['taking']
This list of presenters is limited to those appearing in Globe Trekker.,list,Globe,"['limited', 'to']"
Its easier to endure the cold if you have a warm drink in the belly.,you,warm,['easier']
Do you know the story of Orpheus with his lute.,you,lute,['know']
Come here directly and get ready for your walk.,,directly,['Come']
Initially DoD spokesman Flex Plexico denied any knowledge of a hunger strike.,Initially,spokesman,['denied']
When playing children often just reenact what they experienced before.,just,,['reenact']
It seems a Spaniard had to win at all costs.,Spaniard,costs,['seems']
Extrinsic factors like the economy culture and social media have an effect on business.,Extrinsic,,['have']
Fares on express bus services may be higher than normal parallel services.,Fares,parallel,"['be', 'higher']"
There are different sizes of batteries.,,different,"['are', 'different']"
Furthermore John Malkovich and Australianborn Eric Bana are of Croatian ancestry.,Furthermore,John,"['are', 'of', 'Croatian']"
A blond boy getting his hair done.,blond,,['boy']
It is situated on the north side of Teesdale a short distance from MiddletoninTeesdale.,It,short,"['situated', 'on']"
The censusdesignated place of Laona is located in the town.,censusdesignated,,"['located', 'in']"
That is so he said quietly.,so,,['is']
Man in red carries flowers as a dog follows.,dog,flowers,['carries']
He is currently serving as the midfield coach of the Western Bulldogs.,He,Western,"['serving', 'as']"
Our mortgage is in arrears.,mortgage,arrears,"['is', 'in']"
The performance was in Japanese with English supertitles.,performance,English,"['was', 'in']"
The bridge consists of ten spans.,bridge,ten,"['consists', 'of']"
The actions of the council were also gathered into a collection at Cuthberts command.,actions,also,"['gathered', 'into']"
The exterior of Dobbs house is in Saint Georges Square Pimlico.,exterior,Georges,"['is', 'in']"
From there various regional Faerie Circles were formed and other large rural gatherings organized.,rural,,['formed']
This is one of the strengths of having a larger school division.,This,larger,['is']
Under Leon Salberg the Alex was famous for its pantomimes such as Mother Goose.,Leon,Alex,"['was', 'famous']"
The decision drew political fire and tangling where cooperation with Congress was at issue.,where,,"['drew', 'political']"
Listen up everyone we would like to make an announcement.,we,announcement,['Listen']
A man is waist deep in a river casting a net.,man,deep,['is']
Switch on the bath.,,bath,"['Switch', 'on']"
Play an ep by Cristy Lane off google music.,,google,['Play']
a man in the distance looking at the fruits and vegetables at a farmers market.,,farmers,"['man', 'in']"
Is it colder in Istanbul Turkey or Amarillo Greece.,it,Istanbul,['Is']
They also produce Castle milk stout Hansa Pilsner Castle Lager and Castle Lite.,They,milk,['produce']
The phosphatidyl alcohols are metabolic deadends and can be readily extracted and measured.,phosphatidyl,alcohols,"['are', 'metabolic']"
Birds of a feather flock â together.,Birds,feather,['â']
A soft answer turneth diabo away wrath.,soft,,['diabo']
His son Acolyte is a supporting character in these novels.,son,supporting,['is']
Aristotle and Pythias had a daughter Pythias the Younger.,Aristotle,daughter,['had']
The American immigrants who comprised Company B eventually returned to their homes.,who,eventually,"['returned', 'to']"
How about a demo Phil.,,How,['about']
A semitransparent overlay promoted the beta version of an Android app.,semitransparent,,['promoted']
He was able to get on his knees but he quickly slipped back.,he,knees,"['was', 'able']"
Got to get some practice.,,practice,['Got']
Taylor is five years older.,Taylor,,['is']
It saw improvements in its earnings and number of passengers carried.,It,passengers,['saw']
A woman with a white glove and several others.,,white,"['woman', 'with']"
System V derivatives continued to be deployed on some proprietary server platforms.,System,V,['continued']
This is not traditional in Bavaria and is generally frowned upon there.,This,Bavaria,['is']
It is considered a dietary supplement and is not a prescription.,It,,['considered']
Poisoning was suspected.,Poisoning,,['suspected']
The last time Jatayu met Meghraj was at Golapi Mukto Rahashya.,Meghraj,Golapi,['met']
This is a more effective use of the payload that a bomber could carry.,effective,,['is']
Wedmore hosts the annual Wedmore Real Ale Festival.,Wedmore,annual,['hosts']
Traveling alone is good for meeting new people.,Traveling,new,"['is', 'good']"
Do you prefer white coffee or black.,you,white,"['prefer', 'white']"
blond child in knit hat and pink coat cries in a woman arms.,,pink,"['child', 'in']"
Acne is mainly a problem for teenagers.,Acne,mainly,['is']
A fourdoor sedan and a twodoor hardtop coupe were available.,fourdoor,,"['were', 'available']"
Some popular cocktails highlight Amaretto liqueur as a primary ingredient.,popular,,['highlight']
Alternatively there is a tarred road known popularly as the jeep track.,,popularly,['is']
Even the guard rail couldnt stop the truck from falling off the bridge.,Even,guard,['stop']
What are they gonna think about you.,they,you,['gon']
All units have standard class seating only.,units,standard,"['have', 'standard']"
Also the formation lacks efficiency.,Also,,['lacks']
The dog is rolling on its back on the grass with its mouth wide open.,mouth,wide,"['rolling', 'on']"
White spirit is quite useful for removing oily stains.,White,spirit,['is']
He continued to face difficulties from the naval ministry of Admiral Segismundo Bermejo however.,He,naval,['continued']
Filipino businesses dominate the intersection of Bathurst and Wilson and the area surrounding it.,Filipino,,['dominate']
Now imagine a guy walking through that door and starting to give orders with a heavy accent.,,heavy,['imagine']
Of the troops fighting at Le Cateau casualties were incurred including prisoner.,troops,Le,"['incurred', 'including']"
These two wrestlers were both awarded yokozuna licences by the prominent Yoshida family.,two,,"['awarded', 'yokozuna']"
This reduces streamflow and sediment and increases water temperature.,This,water,['reduces']
After hearing of this action Safdarjung fell ill and died.,Safdarjung,action,['fell']
The GoodsonTodman library of game shows is now part of FremantleMedia.,GoodsonTodman,library,['is']
Players are assigned a certain predetermined value for each foul committed.,Players,foul,['assigned']
There was an early settlement started in the general vicinity called Jordans Settlement.,,general,['was']
Anyway no one saw her like that.,one,that,['saw']
Why are you carrying money asked the tribesman when he had searched the boys bag.,when,,['carrying']
Ringed seal are an important food item in particular for polar bears.,Ringed,,['are']
John hated being late and was always having to drag me out.,John,always,['hated']
His dessert smelled musty not sweet.,dessert,,"['smelled', 'musty']"
These analyses allowed a systematic review of where if at all the effect holds.,at,,['allowed']
He predates the modern Saint Bernard and was lighter built than the modern breed.,He,modern,['predates']
Kanizsa became isolated and lost its markets in the south and west.,Kanizsa,south,"['became', 'isolated']"
See Vancouver Downtown Historic Railway.,,Downtown,['See']
He was the host of his own television series Everyday Elegance for five seasons.,He,five,['was']
Compare the gravitational potential at some of these locations.,,gravitational,['Compare']
Id die for either of you.,I,you,"['die', 'for']"
The Maharashtra Industrial Development Corporation has taken up the development of industrial areas.,Industrial,Development,['taken']
Learn to recognize omens and follow them the old king had said.,old,,['said']
Although the British never arrived the people of Philadelphia applauded his efforts.,people,efforts,['applauded']
The boy promised himself that when he returned from Egypt he would buy that sword.,he,sword,['promised']
She turned in at the hotel.,She,hotel,['turned']
Emerald Park is located in the Regina Wascana Plains provincial electoral riding.,Emerald,Park,"['located', 'in']"
How can the data have become corrupted.,How,,"['become', 'corrupted']"
So there is another small dale leading down into the village from the east.,,small,['is']
Chamber debates and committee meetings are open to the public.,Chamber,debates,"['are', 'open']"
He also held political office in the provinces of Nelson and Marlborough.,He,political,"['held', 'political']"
Stephen unraveled the bandage carefully.,Stephen,bandage,['unraveled']
Nope not going unless they have a giant inflatable slide.,they,inflatable,['going']
The main difference between intentional torts and unintentional torts is intent.,main,,"['is', 'intent']"
If he was spinning me a yarn he could act up to it.,yarn,,['spinning']
Deferred is not denied.,Deferred,,['denied']
They released the album Challenge.,They,album,['released']
He had his secondary school education at West Africa Secondary School in Ghana.,He,secondary,['had']
It is most common in New England the Appalachian Mountains and the Canadian Maritimes.,It,most,['is']
Its main population centre is Old Crow Yukon.,main,population,['is']
Fully legal weddings are offered.,legal,,['offered']
Dinkins went on to win the general election against Rudy Giuliani.,Dinkins,general,['went']
Typically there are a few basic steps to visiting a shrine.,,basic,['are']
Three men observe a specimen under a microscope.,Three,,['observe']
Ryan proclaims his love for Jenny but is then forced out by Jasons bodyguard.,Ryan,then,['proclaims']
Three women walking down a tunnel while a seated man watches them.,seated,,"['walking', 'down']"
Though there are five courses from which to choose only four are playable.,,only,"['are', 'playable']"
Its main base is Abruzzo International Airport Pescara.,main,,['is']
Here she studied French German literature logic and psychology.,Here,,"['studied', 'French']"
Mulroneys government dismantled Foreign Investment Review Agency and moved to privatize PetroCanada.,Mulroneys,government,['dismantled']
And was I not wise he said with complacency.,he,complacency,['was']
After wakening he rose early.,he,,['After']
He declaimed poetry beating off a chechotka.,He,chechotka,['declaimed']
Less costly weapon systems may help keep the destroyer class from becoming too expensive.,costly,weapon,['help']
The brigade disbanded after the battle of Bergendal.,brigade,Bergendal,"['disbanded', 'after']"
A deposit of four hundred pounds is deductible from the final fee.,deposit,final,"['is', 'deductible']"
Changing the recovery key is not possible without reencrypting the File Vault volume.,Changing,File,['is']
Once the clipped portion is known one can attempt partial recovery.,one,partial,"['attempt', 'partial']"
The railway was a revolutionary new form of transport.,railway,new,['was']
Although Larnachs property investments performed well he was less successful in his banking career.,well,,['was']
The Bellefonte Generating Station consisted of four cancelled reactors.,Bellefonte,Generating,"['consisted', 'of']"
A work in which copyright has expired is in the public domain.,copyright,public,"['is', 'in']"
Note that u is a representation but not a unitary representation.,u,,['Note']
Foster sold his song Old Folks at Home to Christy for his exclusive use.,Foster,exclusive,['sold']
The airplane calmly soared through the clouds.,airplane,calmly,"['soared', 'through']"
I worked hard on that.,I,hard,['worked']
Initially they were designed for airplane wire harnesses.,Initially,,"['designed', 'for']"
She received chemotherapy treatment as a precautionary measure following surgery.,She,precautionary,['received']
He also owned a restaurant and service station.,He,restaurant,['owned']
The Team with new pilot Steve Trevor is sent to Gamorra.,new,Steve,"['sent', 'to']"
You have been a soldier observes Sir Leicester and a faithful one.,Sir,Leicester,['observes']
A rugby player wearing a colored top has scored a try as the players in black are running towards him.,colored,,['scored']
Anyone know how to make onion gravy.,Anyone,how,['know']
He continued to live alone and be very active with birding projects.,He,very,['continued']
Man in white tshirt climbing a tree.,,white,"['Man', 'in']"
A man is walking along a sidewalk outside a store.,man,store,"['walking', 'along']"
Somebody cut us off.,Somebody,us,['cut']
Those native to the municipality are called criollos even if black.,Those,native,"['called', 'criollos']"
Youve heard of this business of mine I suppose.,I,mine,['suppose']
The Godavari and Mahanadi rivers flow into the Bay of Bengal.,Godavari,,"['flow', 'into']"
His first wife was Nina Wilcox.,first,,['was']
The legal action comprised a claim and counterclaim.,legal,,['comprised']
Is that how your niece began.,how,,['Is']
Nevertheless she continued singing for Jaikishan even after Sangam and till the end.,Nevertheless,,['continued']
The lawyer signed the licence in ink.,lawyer,ink,['signed']
He studied the piano with Isidor Philipp of the Paris Conservatory.,He,Paris,['studied']
The Pender County portion of Wallace is part of the Wilmington Metropolitan Statistical Area.,Pender,County,['is']
But that brings me to Mozillas more recent announcement Project Common Voice.,that,recent,['brings']
It consists of three administrative subdivisions  Kurla Andheri and Borivali.,It,administrative,"['consists', 'of']"
And so on.,,,['on']
The car sold for twelve thousand three hundred and sixty nine Euros.,,three,['car']
There are two senses in which the term is used.,two,,['are']
The school educates students in kindergarten through eighth grade.,school,eighth,['educates']
Hoover had asked Moton to keep a tight lid on his investigation.,Hoover,tight,['asked']
It will keep the hair off the neck as well.,It,neck,['keep']
This charter allowed the town to hold two annual fairs.,town,annual,['allowed']
I often spend Sunday morning with my husband reading the Sunday newspaper.,Sunday,morning,['spend']
Hatoma is located just north of Iriomote.,Hatoma,north,['located']
Both authors state that this story is a myth.,story,,['state']
A young person pitches in a baseball game.,,young,"['pitches', 'in']"
When she tried to withdraw some money from her bank account the ATM claimed her card was invalid.,card,bank,['claimed']
His goal was the liberation of Croatia and the unification of its lands.,goal,lands,['was']
The floor of Hind is relatively uneven however compared to the interior of Halley.,floor,however,['is']
Fall is mild and pleasant but can be cold.,Fall,,"['is', 'mild']"
The garden is older than the house in fact.,garden,fact,"['is', 'older']"
They are now the majority owners of the paper.,They,now,['are']
They have prejudices against foreigners.,They,foreigners,['have']
AbeBooks currently only has a reseller agreement with Amazoncom.,AbeBooks,only,['has']
Why would a king be talking with a shepherd the boy asked awed and embarrassed.,boy,shepherd,"['talking', 'with']"
Their work drew on earlier Roman traditions.,work,Roman,"['drew', 'on', 'earlier']"
Anez has stated that he hated the handdrawn comic.,he,handdrawn,['stated']
A retweet does not equals endorsement.,retweet,endorsement,['equals']
About of the river is in Turkey in Georgia and in Azerbaijan.,About,Azerbaijan,"['is', 'in']"
De Heusch was born in Utrecht.,De,Heusch,"['born', 'in']"
How are you feeling.,How,,['feeling']
This caused great economic hardship.,This,economic,"['caused', 'great']"
Well you can imagine we always broke things in the living room.,we,living,['imagine']
None Woordward claimed took any actual part in the fighting.,None,Woordward,['claimed']
These details were assuredly the truth.,details,,['were']
But I had the sense to see my danger.,I,danger,['had']
Some areas within these outlying counties may be rural in nature.,areas,outlying,"['be', 'rural']"
The traditional colours of Pontevedra are burgundy shirt blue shorts and burgundy socks.,traditional,,"['are', 'burgundy']"
Currently based in Cali Colombia it enjoys great popularity throughout Latin America.,Currently,Cali,"['enjoys', 'great']"
Travers specialized in portraying slightly bumbling but friendly and lovable old men.,,old,"['Travers', 'specialized']"
His grandfather was a shaman.,grandfather,,['was']
Suppose there was a Shane York and he walked into this office.,Shane,he,['Suppose']
There is evidence of huge fires in all the major buildings of the city.,,major,['is']
Provocation consists of the reasons for which one person kills another.,one,,"['consists', 'of']"
Two dogs run through the snow.,Two,,"['run', 'through']"
Its tributaries are Venema Creek and Mohlendorph Creek.,tributaries,,['are']
But in the canyons water was plentiful and also a luxuriant forest growth.,water,canyons,"['was', 'plentiful']"
Otto of course passed these entrance exams in marvelous fashion.,Otto,marvelous,['passed']
He made three first class hundreds.,He,first,['made']
A woman is swimming underwater.,woman,,"['swimming', 'underwater']"
He started to trade up his womens wear and offer higher style garments.,He,higher,['started']
two children riding horses in a rural setting while playing lacrosse.,,rural,['children']
I hate to think what hell say.,hell,what,['hate']
Its happening at a speed unprecedented in recorded history.,,recorded,"['happening', 'at']"
Second with a keyboard you can hold a movement key and release when you reach your location.,when,movement,['hold']
Two football players run into each other.,Two,football,"['run', 'into']"
Miller moved to London to pursue a career in comedy.,Miller,comedy,"['moved', 'to']"
She performed lifeguard duty in addition to offensive patrol.,She,offensive,"['performed', 'lifeguard']"
He paused looked back at the house but then pocketed the keys opened the gate and strode down the path quickly.,then,,['paused']
play the new Feist on deezer.,,new,['play']
She likes you well enough to stick around.,She,you,['likes']
Constructed with Japanese assistance it is also known as the PakJapan Friendship Tunnel.,Japanese,,"['known', 'as']"
Change in environment favors colonization of tree species.,Change,tree,['favors']
There are many people named Steding living today throughout northern Germany.,,northern,"['are', 'many']"
add qad el horoof to night playlist.,,night,['add']
Theres a boat at the bottom of the garden.,,garden,['s']
After that time a landing craft or another destroyer was always present.,landing,craft,['was']
Please search and get me The East Is Red saga.,East,me,['search']
The famous Mona Lisa painting was painted by Leonardo Da Vinci.,famous,Mona,"['painted', 'by']"
If we work together we can transcend differences.,together,,['transcend']
He plays cricket golf and hockey.,He,cricket,['plays']
How old are you daddy.,How,,['are']
Whats the matter with Eleanor.,matter,Eleanor,['s']
She competed on the national level as a junior and adult.,She,national,"['competed', 'on']"
Love is blind.,Love,,"['is', 'blind']"
The results were rapid.,results,,"['were', 'rapid']"
This is also often referred to as a beat.,This,often,"['referred', 'to']"
There was a round table in the middle of the room.,,round,['was']
You did a swell job.,You,swell,['did']
Its doubled our circulation.,Its,circulation,['doubled']
Most of the genera have evergreen foliage but Stewartia and Franklinia are deciduous.,evergreen,,"['have', 'evergreen']"
Play music from Stacy Ferguson from the fourties.,,Stacy,['Play']
A child swims underwater in a pool.,child,pool,"['swims', 'underwater']"
Gunns father is Italian and his mother was onehalf Chinese.,mother,,"['is', 'Italian']"
There are many beachrelated cultural events in Haeundae.,,cultural,"['are', 'many']"
A man is helping a small child get on a train.,small,,['helping']
His recreational interests include electronics photography scuba diving and flying.,recreational,,['include']
Parvin wrote a comedic song for her to the tune of Second Hand Rose.,Parvin,comedic,['wrote']
2 people walking outside in a downtown area.,,outside,['people']
I do not dispute your hypothetical case.,I,hypothetical,['dispute']
The Nolan family lived in BexhillonSea.,Nolan,family,"['lived', 'in']"
Nobodys going to rush me into anything.,Nobodys,anything,['going']
Get the riot gear.,,riot,['Get']
A slow skater Dye was known for his hard and accurate shot.,slow,,"['known', 'for']"
A longhaired man belts out a tune on a trumpet while accompanying his band.,longhaired,,['belts']
His first published cartoon in the London Opinion was an Indian subject.,published,,['was']
We have been married above two months.,We,two,"['married', 'above']"
Three people walk past a tourist attraction behind a wrought iron fence.,Three,,"['walk', 'past']"
A group of motorcyclists in a race.,,race,"['group', 'of']"
A couple ladies having a party.,,couple,['ladies']
Different hash variants exist.,Different,hash,['exist']
Viral life cycle is cytosolic.,Viral,life,"['is', 'cytosolic']"
Many eminent personalities have passed out from this school.,eminent,,['passed']
What were you doing in Boston.,you,Boston,"['doing', 'in']"
Lenox is the home of the LeanOx Festival the oldest festival in Cook County.,Lenox,oldest,['is']
What do you think of beetroot.,you,beetroot,"['think', 'of']"
A woman is singing on stage.,woman,stage,"['singing', 'on']"
They also reported being attacked by Indians.,They,also,['reported']
She then recuperated in Saint Moritz Switzerland.,She,then,"['recuperated', 'in']"
The Katarina kyrka in Stockholm is named after her.,Katarina,kyrka,"['named', 'after']"
“What’s my dad eating his snap for now” asked Arthur.,dad,Arthur,['asked']
We shall all three dine together early in town and return here.,all,,['dine']
A stoplight on the street corner.,,street,"['stoplight', 'on']"
I have been much concerned to hear it.,I,much,['been']
He was eventually brought back to the major leagues in September.,He,major,['brought']
To the east lie glacial fields.,,glacial,"['lie', 'glacial']"
All pupils attend on full scholarship and admission is extremely competitive.,pupils,full,"['attend', 'on', 'full']"
What are the characteristics of a trustworthy salesman.,characteristics,trustworthy,['are']
Do you mean it though Tony.,you,it,['mean']
He teaches at Middlebury College.,He,Middlebury,"['teaches', 'at']"
He laughed immoderately at his joke.,He,immoderately,['laughed']
This translation arose by false analogy with the Western system of the four elements.,translation,four,"['arose', 'by', 'false']"
Both fossils are of Eocene age and consist of leaflet fragments.,fossils,leaflet,"['are', 'of']"
Charts and maps were created at this facility for national distribution.,Charts,national,"['created', 'at']"
Why Marriage Matters was Freedom to Marrys national public education campaign.,Why,Marriage,['was']
You havent got your wings yet.,You,wings,['got']
A man in a brown jacket stands in a small shop.,man,small,"['stands', 'in']"
There is a masjid built around the tomb which incorporates a graveyard.,which,graveyard,['is']
A man wearing no shirt is sitting outside a barn on a rock.,man,rock,"['sitting', 'outside']"
A motorcyclist pops a wheelie in a grassy field framed by rolling hills.,motorcyclist,rolling,['pops']
Today several monuments witness the gratitude of the Bulgarian people to its liberators.,several,,['witness']
Apollonia is a graduate of Harvard University.,Apollonia,Harvard,['is']
The man seeing no other choice agrees reluctantly.,man,other,['agrees']
A man wearing an orange shirt in front of a tray of food.,,orange,['man']
Air compression on the outer surfaces caused the cabin to heat up during flight.,outer,,['caused']
He stood irresolute for a moment and then scrambled out of the pit.,He,then,"['stood', 'irresolute']"
Our analysts are conducting an analysis of the public survey data.,analysts,public,['conducting']
The sap sometimes stains yellow on fingers and clothes.,sap,sometimes,"['stains', 'yellow']"
What is the weather forecast nearby here.,weather,forecast,['is']
Paul would have succeeded had he studied harder.,he,,['succeeded']
The only countries listed either straddle continents or are on a continent border.,only,,['straddle']
The surprise challenge by Sir Michael Fay caught the San Diego Yacht Club unprepared.,surprise,challenge,['caught']
He worked mainly on algebraic invariants and geometry.,He,algebraic,['worked']
I could see rain.,I,rain,['see']
Oh my fur and whiskers.,,,['fur']
Aeons passed much knowledge was lost.,Aeons,much,"['passed', 'much']"
He also authored the following published books.,He,published,['authored']
Two men in sunglasses are sitting in the back of a car.,Two,,"['sitting', 'in']"
Initially he concentrated on jazz music.,Initially,,"['concentrated', 'on']"
These devices include manual counters stopwatches odometers and digital clocks.,devices,manual,"['include', 'manual']"
A young child is jumping off a yellow stool inside a room in a house.,young,,['jumping']
This meaning is at the core of folkloristics the study of folklore.,meaning,folklore,"['is', 'at']"
They seemed to laugh at him and he laughed back his heart bursting with joy.,back,,['seemed']
This engine has dry liners.,engine,dry,"['has', 'dry']"
But what is it.,it,,['is']
An older couple walking across a street.,,older,['couple']
The Lavelle incident was labeled Garbagegate by the newspapers at the time.,Lavelle,incident,['labeled']
I understand” he said.,he,,['said']
Lane then pulled Arwood out of the bathtub and undressed her.,Lane,then,['pulled']
The name Beauvoir means beautiful to view.,name,beautiful,"['means', 'beautiful']"
I need to go to the emergency room.,I,emergency,['need']
Find the movie schedules for Cobb Theatres.,,Cobb,['Find']
Thus this is also called quadraticphase signal.,Thus,,['called']
He also helped organize the nuclear engineering program at the institution.,He,nuclear,['helped']
from Columbia University and a PhD from the University of California Berkeley.,,University,['from']
Another popular type is the versionable type.,popular,,['is']
Lane Cove West and Lane Cove North are separate suburbs.,Lane,Cove,"['are', 'separate']"
He plays on the track Sacred and Mundane.,He,track,"['plays', 'on']"
We are the Dead.,We,,['are']
Two guys use leaf blowers to blow a pile of fallen leaves.,Two,,['use']
Three early test pressings were also made all of them owned by Bobby Steele.,early,test,['made']
It is the epitome of love.,It,love,['is']
Some photographers explore subjects typical of paintings such as landscape still life and portraiture.,photographers,such,['explore']
A professional tennis player returns a shot with a back hand from no man s land.,professional,tennis,['returns']
Individuals who have had one fecal impaction are at high risk of future impactions.,who,future,"['are', 'at', 'high']"
And beasts that have deliberation must necessarily also have will.,that,also,['have']
When introducing himself he states that everything he does turns out disastrous.,he,When,['states']
The address concludes with greetings in many languages in relation to the feast celebrated.,address,many,"['concludes', 'with']"
This was the companys foray into direct competition with Sainsbury.,This,direct,['was']
Did you see the new documentary.,you,new,['see']
Several men in buttondown shirts stand around a table and observe the men seated at the table.,Several,,"['stand', 'around']"
No one could see him from the hotel.,one,hotel,['see']
The organization is member of the International Monarchist Conference.,organization,International,['is']
But distance on a given set is a definitional choice.,distance,given,['is']
My neighbour owned an Alsatian dog it could run fast.,Alsatian,,['owned']
The terms minimalist and postmodernist have also been applied to his later works.,terms,later,"['applied', 'to']"
His daughter Madeline begins a job in American radio.,daughter,American,['begins']
My third grader is learning long division right now.,third,,"['learning', 'long']"
After injuries to Yao Ming and Carlos Boozer Howard was offered the extra spot.,injuries,extra,['offered']
The same musicians recorded both records though none are credited on the album cover.,none,album,['recorded']
The only factory option initially available was an automatic transmission.,only,factory,['was']
Two people talking on a dock.,Two,,"['talking', 'on']"
A mixeduse tower is planned for the Ayoob Fruit Warehouse site.,mixeduse,tower,"['planned', 'for']"
Four hundred and fifty dollars.,,,['dollars']
They are called private and public key.,They,,"['called', 'private']"
A beautiful seascape invites these young men to jog and play.,beautiful,,['invites']
This then smothers the fire.,This,then,['smothers']
Please search for the Thrilling Cities photograph.,,Thrilling,"['search', 'for']"
A young boy is skating through a skating park.,young,,"['skating', 'through']"
There are four described species restricted to Ecuador and Peru.,,described,['are']
A man is helping a little boy learn how to ride a bicycle.,little,,['helping']
A woman in black high heels crosses a street.,woman,high,['crosses']
He procureth feuds and reconcileth controversies between friends.,He,reconcileth,['procureth']
What is your level of proficiency in Spanish.,level,Spanish,['is']
He turned in his chair towards Harry.,He,Harry,['turned']
Me and a friend of mine.,,mine,['Me']
Rate this novel three out of 6 stars.,,novel,['Rate']
A man using a small chisel to do woodworking.,,small,['man']
Princess Galyani Vadhana was interested in photography.,Princess,Galyani,"['was', 'interested']"
If I only could call my mom.,I,only,['call']
To this effect be our support and our assistance.,,effect,['be']
A man surfing a large wave in the ocean.,,large,['man']
A man is wearing a red and white striped shirt and camouflage ball cap.,man,shirt,['wearing']
A man woman child sitting on benches waiting for the bus.,,man,['child']
The fumes from the traffic was unbearable.,fumes,traffic,"['was', 'unbearable']"
Note Both of these formulas assume the northclockwise convention.,Both,northclockwise,['Note']
The South was resisted by the New England slavetraders.,South,New,"['resisted', 'by']"
A Roman skyphos of cameo glass can be seen at the Getty Museum.,Roman,,"['seen', 'at']"
He stooped to examine the second set of marks.,He,second,['stooped']
Add this album to my hot house playlist.,,hot,['Add']
Whats that got to do with it.,that,it,['got']
I wont leave you.,I,you,['leave']
Farmers can be reluctant to report crime because of fears of retribution.,Farmers,retribution,"['be', 'reluctant']"
ThriveTime for Teens is a board game under the Pay Your Family First company.,ThriveTime,Family,['is']
The governments post went viral in just three days.,governments,post,"['went', 'viral']"
A person rappelling a cliff above a body of water.,,water,['person']
This version was produced by Thames Television.,version,Thames,"['produced', 'by']"
Aigner then spent time at Princeton University taking photographs of Albert Einstein.,Aigner,then,['spent']
It also can be applied to an inductor or capacitor at a chosen frequency.,It,chosen,"['applied', 'to']"
It was clear this would never happen.,this,,"['was', 'clear']"
In the next book The Young Unicorns Zachary is mentioned only in passing.,Zachary,next,['mentioned']
Two young boys eating their lunch outside on cement steps.,,outside,['boys']
The original wooden signs were later replaced in metal by Rutland County Council.,wooden,,"['replaced', 'in']"
The Chancellor said with a slight smile.,Chancellor,slight,"['said', 'with']"
In these activities Peters developed a belief in the Eurocentric bias of most maps.,Peters,most,['developed']
An almost imperceptible nod from Helene moreover assured her.,imperceptible,,['assured']
However Böhms inconspicuous existence changed abruptly.,inconspicuous,,['changed']
Two mothers stroll their children in the park during the beginning of Autumn.,Two,,['stroll']
The sphincter muscle has a parasympathetic innervation and the dilator has a sympathetic innervation.,parasympathetic,,['has']
A dye is used to highlight blockages within the arteries.,dye,arteries,['used']
A woman with her baby pose in front of a giant red Chinese lantern at a monument.,woman,Chinese,"['pose', 'in']"
Have you got a mirror.,you,mirror,['got']
Alice went timidly up to the door and knocked.,Alice,timidly,['went']
Using bait is also a common practice in leopard hunting on a safari.,Using,common,['is']
Ananthamurthy served twice as the Chairman of the Film and Television Institute of India.,Ananthamurthy,Film,['served']
The Soil Stradivarius is currently used by Itzhak Perlman.,Soil,Stradivarius,"['used', 'by']"
You see we shall find out nothing — nothing said Harry with a groan.,nothing,groan,['said']
But there was no escape.,,,['was']
The horse was covered by Coolmores Danehill Dancer from the stable of John Magnier.,horse,John,"['covered', 'by']"
Beneath the summit the volcano features numerous scoria cones and flank vents.,volcano,numerous,"['features', 'numerous']"
Small dog being dried by a handheld hair blower.,Small,,"['dried', 'by']"
Amaravathi gram panchayat is the local selfgovernment of the village.,Amaravathi,gram,['is']
But I can’t stay there long.,I,,['stay']
Will captures the witch and berates her but she kills herself.,she,herself,['captures']
It needs only the exception message extracted from cause.,It,only,['needs']
Come on in here now.,,,['Come']
Local legend has it that he also buried a cache of gold there.,he,also,['has']
